rank,country,trade_value_usd_thousand,quantity_kg,priority_tier,target_importers_per_country,current_verified_leads,next_action
98,Maldives,2392.72,1289990,Tier 3,20,20,"Target met; monitor MADIHAA, UFS, Fantasy, BBM, IFS, SIMDI, Seagull, Lily, STO, Happy Market, Damas, Confood, BHM, Equics, Hebron, Redwave, AGORA/Bright Brothers, Fari, MIC and Euro Marketing for direct garlic buyer ownership and paid-data shipment validation"
99,Namibia,2319.93,1356630,Tier 3,20,20,"Target met; monitor Wecke & Voigts, NFPM, Primo, Deep Catch/Seapride, CIC, Woermann Brock/Fresh, Food Lover's, Pick n Pay, Shoprite, Woolworths, SmartCater, Caterserve, Afrifresh and public Volza fresh/garlic buyer signals for direct garlic buyer ownership and paid-data shipment validation"
100,Montenegro,2265.20,1285210,Tier 3,20,20,"Target met; monitor VOLI, Arivera Fruit, IDEA, DNF, Panvel, Veletex, Nelt, Expo Commerce, Vertigo, Aroma/Domaca Trgovina, Falcon, PG-PAK, Katunjanin, Skorpion, Montefish, PERT, Franca, HDL, RDS and Botir for direct garlic buyer ownership and paid-data shipment validation"
101,Cameroon,2209.48,1162620,Tier 3,20,20,"Target met; monitor 3TG, Promodis/Ngouchet, Carrefour, DOVV, Santa Lucia, Dee-Lite/SPAR, BAO, FoodHouse, Congelcam, CAM-DIS-ALIM, Necam, Frozen Foods, CDS Ship Chandler, WaziEats, WOO Agro, Alliance Trans, SIPAL, SIRPACAM, OK Food and Nosucam for direct garlic buyer ownership and paid-data shipment validation"
102,Mozambique,2094.25,1385060,Tier 3,20,20,"Target met; monitor Bindzu, Oceano, Terramar/Nutritir, Tropigalia, Moz Meat, Procongel, SAJUP, Moz Ship Supply, Sea Master, A&S, IGUAL, MEGA, SaveMor/Maputo Fresh Market, Recheio, SPAR/Premier SuperSpar, Shoprite, Pick n Pay, Woolworths, Mozambique Fresh Produce and Moz Fresh Greens for direct garlic buyer ownership and paid-data shipment validation"
103,Armenia,2072.97,1158800,Tier 3,20,20,"Target met; monitor Spayka, Farmerup, Yerevan City/City LLC, Partner Armenia, Megafood, Alpha Food Service, Food Depot, SAS, Nor Zovq, Evrika, Yeremyan Projects, Artfood, Aragats Food, Fresh Frozen, GHR Product Service, Lia Food, Aras Food, VAS Group, Sun Food and public Volza fresh-garlic buyer signals for direct garlic buyer ownership and paid-data shipment validation"
104,Ghana,2045.53,1259650,Tier 3,20,20,"Target met; monitor Kwatsons/MaxMart Distribution, Eden Tree, Fruitgisa, Transmed Ghana, Forewin, Capa Fresh, Shoprite/Brands For All-Carrefour, Ghana Whole Foods, Perez, CarmenSita, IceFoods, Wusuaa, Harrishelle, Prince Mark, Cheaper Lines, NMORKUME, Shining Green, Agroseal, Finatrade and public God Is Good Farms garlic-buyer signals for direct garlic buyer ownership and paid-data shipment validation"
105,Moldova,2010.42,1020580,Tier 3,20,20,Target met - monitor for stronger direct importer/distributor and paid customs-confirmed decision maker data
106,Nepal,1966.04,2139730,Tier 3,20,20,Target met - monitor WITS mirror-import surge and paid customs-confirmed fresh garlic buyer contacts
107,Aruba,1862.08,864818,Tier 3,20,20,Target met - monitor for stronger verified fresh produce importer contacts and paid allium shipment owner data
108,Macao,1812.22,690262,Tier 3,20,20,Target met - monitor for direct fresh-garlic SKU evidence and paid customs-confirmed buyer ownership
109,Belize,1809.98,1045540,Tier 3,20,20,Target met - reconcile pipeline import value with latest WITS 2023 value and validate paid customs-confirmed buyer ownership
110,Azerbaijan,1798.96,1025060,Tier 3,20,20,Target met - reconcile pipeline import value with latest WITS 2023 value and validate paid customs-confirmed buyer ownership
111,Greenland,1711.31,542888,Tier 3,20,20,Target met - reconcile legacy pipeline value with WITS 2024 mirror-export value and validate paid customs-confirmed buyer ownership
112,Democratic Republic of the Congo,1709.30,751390,Tier 3,20,20,Target met - reconcile legacy pipeline value with WITS 2023 mirror-export value and validate paid customs-confirmed buyer ownership
113,Fiji,1675.92,972526,Tier 3,20,20,Target met - validate direct beneficial garlic importers against WITS 2023 USD 4.79M import signal and paid customs data
114,Benin,1590.74,1138660,Tier 3,20,20,Target met - reconcile legacy pipeline value against WITS 2023 USD 107.70K import data and validate direct beneficial importers through paid customs data
115,"Congo, Rep.",1585.67,780560,Tier 3,20,20,Target met - validate beneficial importers through paid customs data because public coverage is mostly route-to-market and WITS latest direct public signal is 2021 mirror-export data
116,Liberia,1578.07,764060,Tier 3,20,20,Target met - reconcile legacy pipeline value against WITS 2023 direct import USD 283.68K and mirror-export USD 465K signals and validate beneficial importers through paid customs data
117,El Salvador,1573.89,755409,Tier 3,20,20,Target met - validate beneficial importers against WITS 2023 USD 2.75M and 2.53M kg direct import signal led by China and paid customs data
118,Burkina Faso,1485.56,962816,Tier 3,20,20,Target met - validate beneficial importers against WITS 2023 USD 476.72K and 4.06M kg direct import signal led by China and paid customs data
119,Tanzania,1435.05,1273120,Tier 3,20,20,"Target met - validate public Volza fresh-garlic buyers and reconcile WITS 2023 USD 458.98K and 733,960 kg direct imports led by China against legacy pipeline value"
120,Monaco,1395.69,367873,Tier 3,20,20,"Target met - validate Monaco-based provisioners, produce wholesalers, supermarket procurement and yacht/HORECA channels against paid customs data because public WITS reporter coverage is limited"
121,Burundi,1360.07,667176,Tier 3,20,20,"Target met - reconcile legacy pipeline value against WITS 2023 USD 214.76K and 98,980 kg direct import signal, mostly Tanzania-supplied, and validate beneficial importers through paid customs data"
122,"Hong Kong, China",1328.57,410589,Tier 3,20,20,"Target met - reconcile WITS 2023 direct imports against larger China mirror-export and public Volza garlic shipment signals; validate beneficial importers across Food Source, Wing Kee, DCH/Sims, Angliss, Fresh Channels, supermarkets and marketplace garlic sellers"
123,Samoa,1299.14,767160,Tier 3,20,20,"Target met - reconcile legacy pipeline value against WITS 2023 direct imports of USD 242.27K and 157,181 kg, led by China; validate beneficial importers across Ah Liki, Frankie, SSAB, Gounders, Chan Mow and supermarket/hospitality channels"
124,Curacao,1220.20,578113,Tier 3,20,20,"Target met - validate beneficial importers behind pipeline value and public Volza/Panjiva fruit, vegetable and food-ingredient shipment signals; prioritize Hector Henriquez, Curaçao Foods Trade, EWT, Pietersz, DeliNova, fresh-produce importers, supermarkets and foodservice channels"
125,Djibouti,1211.04,1273980,Tier 3,20,20,"Target met - reconcile WITS 2023 fresh/chilled garlic imports of USD 754.18K and 2.15M kg plus public Volza garlic-buyer signals across Xuefeng, Nimsam Kashi, Kheyredin, Al Gamil and fresh-produce importers; validate beneficial importers through paid customs data before quoting FCL volume"
126,Papua New Guinea,1210.15,660010,Tier 3,20,20,"Target met - reconcile WITS 2023 direct import value of USD 750.95K and China-led mirror-export signals with public importer-distributor, supermarket, fresh-produce and food-manufacturing routes; prioritize BNG, Food Pro, SVS, AD Commodities, Pacific Industries, Rabtrad, NKW Fresh, Seeto Kui, TST, RH and Stop & Shop/Taylor Pacific for paid-data validation"
127,Gabon,1166.40,514760,Tier 3,20,20,"Target met - reconcile legacy pipeline value against WITS 2023 direct fresh/chilled garlic imports of USD 608.36K and 1.63M kg, mostly China-supplied; validate beneficial importers across Prix Import, SUPERGEL, SANgel, CECA-GADIS, CEDICOM, FOBERD, GAREP, HM Distribution, SIPAGEL, Resto Group and Gabon supermarket/foodservice channels"
128,Zimbabwe,1111.18,453150,Tier 3,20,20,"Target met - reconcile legacy pipeline value against WITS 2023 direct fresh/chilled garlic imports of only USD 3.15K and 453 kg from South Africa plus 2024 South Africa mirror exports of USD 4.05K and 841 kg; validate whether garlic demand is locally produced, informal cross-border, processed/dehydrated, or hidden under broader mixed-food import routes before quoting FCL volume"
129,Kyrgyz Republic,1107.16,500640,Tier 3,20,20,"Target met - reconcile legacy pipeline value against WITS 2023 direct imports of USD 26.93K and 127,590 kg plus China mirror exports of USD 333.22K and 327,385 kg; validate beneficial importers across SB Group, Alliance Product, Globus, Asia Retail, Kyrgyz Product, VitaMiks, Prod Impex, Bai Elim, Pamir, Nuristan and HoReCa channels before quoting FCL volume"
130,French Polynesia,1076.97,395833,Tier 3,20,20,"Target met - reconcile legacy pipeline value against WITS 2023 direct fresh/chilled garlic imports of USD 805.04K and 322,463 kg, mostly unspecified partner reporting; validate beneficial importers across CCC, SIPAC, Essor, TS Distribution, WanD, Newrest, SAGES, SNP, LS Proxi, Polyagro, Ah Sing and hospitality channels before quoting FCL volume"
131,Guam,1037.07,363093,Tier 3,20,20,"Target met with 20 public-source leads. Monitor paid-data reconciliation because WITS mirror exports to Guam show a much smaller public HS 070320 signal than the legacy pipeline value, likely due U.S. territory reporting and mixed grocery/produce consolidation."
132,Mauritania,1008.84,725350,Tier 3,20,20,"Target met with 20 public-source leads. Monitor paid-data reconciliation because WITS 2023 direct imports show USD 205.56K and 1.84M kg while China mirror exports alone show USD 2.07M and 1.57M kg, creating a material market-size and beneficial-importer identification gap."
133,Equatorial Guinea,998.16,460556,Tier 3,20,20,"Target met with 20 public-source leads. Monitor paid-data reconciliation because the legacy pipeline value is much larger than public WITS 2023 EU mirror exports, while 2019 mirror data showed China-led garlic flows and public company evidence points to mixed supermarket/wholesale consolidation."
134,Cabo Verde,966.95,557555,Tier 3,20,20,"Target met 2026-04-28; monitor paid customs for beneficial garlic importer identity across Oliver Food Resorts, Eurocash, Distribuidora do Arquipelago, Montanhes, Super Compra, Importex, Cabomix, CIC and hotel foodservice channels"
135,Cook Islands,965.93,382970,Tier 3,20,20,"Target met; Prime Foods is now the contact-ready official produce/dry-goods wholesale route, while CITC remains the stronger public importer/distributor and paid-customs FCL ownership target across CITC, Prime Foods, Paradise Supplies, Wigmore's, Miamland, Maina Traders and resort foodservice channels"
136,Brunei,929.72,374000,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across Bukit Ladang, Ying Bee, Lee & Soh, TGT, Sullivans, GHL, MC Maju, Teeyem, Ben Foods, Supa Save, Sifana, Double M, WNF, Al Salam, Thaamin, Sunshine, Ghanim, Hua Ho, Soon Lee and RBC"
137,Sao Tome and Principe,915.32,551878,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across CECA GADIS/Super CKDO, Afrimar, Vital, Doce, Continental, Miamland, Intermar, Mini Mercado Bom Preco, Coconote, Cash do Equador, Pingo Doxi, Aegis, Carla Charcutaria, Karley Martins Lima, CS Trading, Principe Collection, Pestana, Hotel Praia, Club Santana and Praia Inhame"
138,Zambia,875.45,535350,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across EPIC Foods, Gatbro, Ntsele/Fruit & Veg City, Choppies, Unity, Artion, Zambeef, Miamland, Dew Fresh, Zambezi Brands, Gammer Foods, Kwenu Kwetu, Trade Kings, Retsol, Pick n Pay, Shoprite, Food Lovers Market, Oriental Food, Fortune Retail Holdings and Chimfresh"
139,Marshall Islands,869.54,333030,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across Triple J Marshalls/Payless Triple J, K&K Island Pride/K&K Corporation, Pacific Basin Payless, MISCO, MIMRA/OIFMC, EZ Price Mart, Formosa, Cost Price, H2 Imports Ebeye, Surfway, Ebeye Mart, Crazy Price Mart, Division 7 Twelve, Ace One Stop, Marshall Islands Resort/Enra, RRE/Tide Table, Toeak, Flame Tree, Dar Cafe and Won Hai Shien"
140,Guinea,861.53,436560,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across Sawaba, EJ-DISTRIBUTION, EMAB, Mad Distribution, Sonit, Fresh Frozen Foods Conakry, Scodi, AFDAL, COVAL, Agro Food Industrie/SONOCO, Alnour, Groupe Kebou, Africa Distri, Solange Business, TOP GUINEE, MAKI FOODS, U Express, L'INTERMARCHE, Market Residence 2000 and Riviera Royal Hotel"
141,Rwanda,797.76,415950,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across XS Fresh, Prodi, Eri-Rwanda, TCYield, Akagera Trading, ICON Trading, National Distributors Rwanda, SM General Trading, Ntahomvukiye Anastase, New One Design, Krishna Rwanda, Izere Services, Food Bundles, Aman Fresh Direct, Garden Fresh Rwanda, Africa Foods Supply, Simba Supermarket, Kigali Serena, Kigali Marriott and Radisson Blu Kigali"
142,Cote d'Ivoire,791.87,357216,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across PROSUMA, SOFRAICI, CGDA, Omnifood International, ETS Nabil Moustapha, TAPOH, SABIMEX, African Distribution Company, MonJardin, SIDAF-CI, CODIPAC, SANgel, CDCI/King Cash, CFAO Consumer Retail/Carrefour, Groupe Carre d'Or, EDIS Nouvelle, Groupe Manskou, AACI, Diop Distribution and Societe de Service et de Distribution Alimentaires"
143,Seychelles,775.05,261319,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across STC, Apex Hotel Supplies, International Food Solution, Global Supply Centre, SPAR Eden Island, ISPC Seychelles, Isola, Vinayaga Impex, GOPI, Hospitality Supplies, Blue Ocean Traders, Vendesto, Sun Shipping International, FoodPro, Arc Distribution, Mamma Mia, RAJ Group, Durai Mini Market, Aswanth Group and Resourced Enterprises"
144,Myanmar,753.63,529243,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across Makro Myanmar, Annam Myanmar, City Mart, Capital Retail, MABG Food, Asia Winner, Seven Wonders Myanmar, Myanmar Distribution Group, DKSH Myanmar, Myanmar's Distribution, CGM, Myanmar Belle, Golden Palace, Green Hands, Pyei Phyo Aung, Aung Thitsar, Hinnthar Nyi Naung, Sein Thonelone, Aung Pyae Kyaw and Latha"
145,Togo,716.20,444110,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across Ocean Communication & Trading, KG-BUSINESS, DORIKKO, Ramco, HEISTAL, TOGO FOOD, Togo Distribution, EKATIF, C F D O, FreshCo, FNB International, TOGO Panier, Pischon, TLA/Togo Luxe Agri, Agrilance, Wisdom Agri & Negoce, IACOM Togo, Miamland, Servair/Lome Catering and Le Champion"
146,Guatemala,712.38,327792,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across Ninoshka, Grupo Campeon/SERVI, Suministros y Alimentos/Disprocalsa, Maxim, Distribuidora Mary, Dissand, Walmart/Hortifruti, La Torre/Unisuper, PriceSmart, Kamoja, Garesa, Suderesa, Diproalsa, Japi, Distribuidora Yaneth, De Mi Tierra, Vegetalia, Comercializadora AZ, Sabores Cosco and ACSA/Anabelly"
147,Kosovo,671.88,413060,Tier 3,20,20,"Target met; Elkos is now the contact-ready official national food import/distribution route, while Joni Group, Euro Exim and FISI Group remain paid-customs fresh-produce importer/FCL ownership targets across HS 070320 and allium-adjacent lanes"
148,Tunisia,658.13,387970,Tier 3,20,20,"Target met 2026-04-29; monitor paid customs for beneficial garlic importer identity across Saed Mhenna, Sodea Fruits, Socoges, Adam Impex, Sushi Tunisie, ADIS Tunisie, Farah Company, Géant Drive, Magasin Général/MG, Monoprix, Carrefour/Ulysse Hyper Distribution, Fruitika, Sodea Fresh, TIC Food, Agri Didon, Ideal Foods, Paradis du Centre, STIFEN, Société Labidi Viandes and Jouda"
149,Nauru,654.64,227665,Tier 3,20,20,"Target met 2026-04-29; public route-to-market mapping now covers Capelle & Partner, Friends Nauru, Rainbow Enterprise, Eigigu, Miamland, Milton Ross Store, Pacific Store, Vim Store No1, Gareow Store, Od-N-Aiwo Shop, Stop & Shop, Sunshine Store, Yangom Store, Cainir Store, J & J Enterprise, Pacifica Enterprises, Menen Hotel, Od-N-Aiwo Hotel, The Bay Restaurant and Nauru Airlines; paid customs needed because WITS 2024 mirror-export data is far below legacy pipeline value"
150,Lesotho,607.51,350335,Tier 3,20,20,"Target met; Maluti Fresh Market is now the contact-ready official produce market/cold-chain/prepared-produce route, while Bay Fruits remains the stronger public importer and paid-customs FCL ownership target across Lesotho fresh-produce/allium lanes"
151,Solomon Islands,578.72,240060,Tier 3,20,20,"Target met 2026-04-29; public route-to-market mapping now covers Super Power Corporation, Bulk Solomons, Sullivans, Nambawan Meat, Turu Value, Deli in the Plaza, Meatlovers, Solomon Brothers, Victory Trading, Low Price Enterprise, Okoa Enterprises, Central Development, SP F&B Manufacturers, Daily Mart, Wing's Supermarket, K K Mart, Honiara Central Market, Coral Sea Resort, Heritage Park Hotel and Honiara Hotel; paid customs needed because public sources validate food-import and distribution routes but not beneficial HS 070320 garlic ownership"
152,Afghanistan,575.14,468175,Tier 3,20,23,"Target met; Wakman is now the contact-ready official import/distribution route for Afghanistan food ingredients, FMCG and all-province B2B supply, while Hashmat Wali Mandozai, Almas Khoshahal and the direct HS 070320 buyer cluster remain paid-customs garlic/FCL ownership targets"
153,Antigua and Barbuda,574.84,329060,Tier 3,20,20,"Target met; Island Provision is now the contact-ready official fresh/frozen/dry food import-distribution route for hotels, restaurants, supermarkets and yachts, while A.S. Bryden remains the larger public-profile distributor/FCL benchmark and paid-data reconciliation target"
154,Vanuatu,573.38,329600,Tier 3,20,20,"Target met 2026-04-29; public route-to-market mapping now covers Au Bon Marché, Dynamic Vanuatu, Teouma Valley Farms, LCM Store, Fine Foods, Cellovila, Martin Company, Esah, Daming Store, Chuan Store, Food Stuffs, Punjas, Vanuatu Cattle Co, Port of Call Vanuatu, Port Vila City Market, Luganville Local Market, Iririki Island Resort, Warwick Le Lagon, Ramada Port Vila and Mangoes Resort; paid customs should verify direct HS 070320 beneficial ownership because public sources validate island foodservice, supermarket, wholesale, market and hotel demand routes but not named garlic consignees"
155,Sierra Leone,572.34,305290,Tier 3,20,20,"Target met 2026-04-29; public route-to-market mapping now covers Pee Cee & Sons, Merani & Sons, DevNat Agri, Sierra Wholesalers/Sierra Importers, Sierra Distribution Company, Foodland, Koussagroup/Freetown Supermarket, Lion Companies Food Division, Premier Food Distribution, Kadat Foods, Goodies, Choithram, Monoprix, Zeruel, CEG, Commodities Trading, DTI, Faris, Heranco and King Food; paid customs should verify HS 070320 beneficial importer ownership because public sources validate food import distribution, cold-chain, supermarket, grocery-wholesale and direct garlic category routes but not named Sierra Leone garlic consignees"
156,Chad,537.67,288800,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Seyal-Tchad, E T S Marche Max, Hadji Youssouf Djibrine, E T S Pro Market SN, Star Gold General Trading, ETS AMA N'Djamena, Miamland Chad, MAYELBUSINESS, TCHAD.NOUSSAHIM, Avi Trene Food, TchadMarket, Lily's Supermarket, Modern Market, Le Bon Marche, Le GRAND MARCHE, Alimentation La Tchadienne, Radisson Blu, Ledger Plaza, Hotel La Residence and Hotel Le Process; paid customs should verify HS 070320 beneficial importer ownership because public sources validate import/export, garlic-powder buyer signals, foodstuffs, fresh-produce, supermarket and hotel demand routes but not named fresh-garlic consignees"
157,Central African Republic,525.67,264390,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Miamland Central African Republic, Bangui Mall/Bangui Market, MARCHANDE EXPORT ET IMPORT, GROUP ALRACHID, BEN AHMED ALRACHID, AFRICA DISTRIBUTION, AFRICA CONSULTING, FINI NDARA CORPORATION, Rayan Super Market, Supermarket Corail, Cedar Market, Marche Central, Prima supermarche, Super Marche LEADER, Starmarket, Park'N'shop, Supermarche Maya, Oubangui Hotel, Ledger Plaza Bangui and Kitika Hotel; paid customs should verify HS 070320 beneficial importer ownership because WITS validates fresh-garlic flow to Central African Republic while public company sources validate import/export, food wholesale, grocery, supermarket, market and hotel demand routes but not named fresh-garlic consignees"
158,Saint Lucia,524.65,263655,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Acado St. Lucia Limited, International Suppliers Inc., Island Provisions, Faye Gastronomie Caraibes, ADMAC, Crown Foods, Miamland St. Lucia, Massy Stores St. Lucia, The Promise Supermarket, Marigourmet, Baron Foods, Abby's Exotic Blends, Inter-Island Distributors, Coconut Bay, Windjammer Landing, Sandals Grande St. Lucian, Sugar Beach, Jade Mountain/Anse Chastanet, Ladera Resort and The Harbor Club; paid customs should verify HS 070320 beneficial importer ownership because public sources validate FMCG distribution, imported grocery, fresh/frozen foodservice supply, provisioning, supermarkets, processors and resort demand but not named fresh-garlic consignees"
159,"Gambia, The",467.24,219252,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers K. Chellarams Gambia, SASCO, Suraj Trading, CJ International, Food Import Gambia, Gamfood Trading, Right Choice, NOMM, MultiTrade, Miamland Gambia, Fresh Frozen Foods Gambia, Jambar Enterprise, MTH Trading, Starline Multitrade, Kairaba Shopping Centre/Tajco, Kairaba Supermarket, Safeway Supermarket, Care For Natural, GamVeg Oil and Coco Ocean; paid customs should verify HS 070320 beneficial importer ownership because WITS validates 2023 direct fresh-garlic imports while public sources validate FMCG import-distribution, foodstuffs, frozen/chilled logistics, supermarkets, processors and hotel demand but not named garlic consignees"
160,Andorra,440.04,120970,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Diplo Andorra, Sumalisa, IDPA, Friman Pirineus, Andisho, Import Espuga, El PorcFer, El Cedre Distribucions, Magatzems Coma/Coma Andorra, Miamland Andorra, Pyrenees Alimentacio, Carrefour Andorra 2000, Super U/CCA, Caprabo Illa Carlemany, U Express Encamp, Super Gourmet, Grand Plaza, Grau Roig, Sport Hotel Hermitage and Park Piolets; paid customs should verify HS 070320 beneficial importer ownership because WITS 2023 direct imports show only about USD 2.30K and 647 kg, almost entirely from Spain with a small France line, far below legacy pipeline volume, while public sources validate wholesalers, supermarkets and hotel demand but not named garlic consignees"
161,Saint Vincent and the Grenadines,425.72,195940,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers ACADO SVG, Massy Stores SVG, C.K. Greaves, Bonadie, PeppaKorn, Rainforest Caribbean, East Caribbean Group of Companies, Miamland, Ranee's Food Supplies, Doris' Fresh Food, Log Enterprises, Food Center, Facey Trading, Better Brands/Frank B Armstrong, Massy Distribution, Sandals Saint Vincent, Mandarin Oriental Canouan, Bequia Beach Hotel, Bequia Plantation Hotel and Mariners Hotel; paid customs should verify HS 070320 beneficial importer ownership because WITS 2023 direct imports show about USD 456.78K and 225,616 kg, while public sources validate distributors, wholesalers, supermarkets, fresh-food provisioning, frozen/cold-chain processors and resort demand but not named garlic consignees"
162,Timor-Leste,415.43,247703,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers East Timor Trading Group, Perissos Vitoria, Timor Food, SUH CASA, Fortuna Lorosa'e, Lita Cold Storage, Miamland Timor-Leste, Dato Mual Beitai, Leader Supermarket, Qulina, W Four, Meimart, Lita Store, Alfa-Dili, Loja Creative Furak, Lisun Importacao & Exportacao, Jusibel, Hotel Timor, Novo Turismo and Palm Springs Hotel; paid customs should verify HS 070320 beneficial importer ownership because WITS 2023 direct imports show USD 822.28K and 1,135,540 kg, while public sources validate FMCG import-distribution, staple-food importers, cold-chain importers, supermarkets, offshore consolidation and hotel demand but not named garlic consignees"
163,Dominica,404.76,208464,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Fine Foods, H.H.V. Whitchurch/IGA, Issa Trading, J. Astaphan, Springfield Trading/S-Mart, Starrin & Sons, Malcolm Stephen & Sons, Miamland Dominica, Northern Foods & Supplies, Parry W Bellot/Bello Products, A.C. Shillingford, Carimex, Best Price, Fresh Market, InterContinental Dominica Cabrits, Secret Bay, Jungle Bay, Rosalie Bay, Pagua Bay House and Fort Young Hotel; paid customs should verify HS 070320 beneficial importer ownership because WITS 2023 direct imports show USD 305.29K and 100,574 kg, while public sources validate grocery import-distribution, wholesale, supermarket, frozen/cold-chain, processor, offshore consolidation and resort foodservice demand but not named garlic consignees"
164,Netherlands Antilles,386.26,85179,Tier 3,20,20,"Target met 2026-04-30; public Dutch Caribbean route-to-market mapping now covers SXM Distributors, Canarbo, Pietersz Distribution, Curacao Foods Trade, Divico Cash & Carry, Carrefour Market/Le Grand Marche St. Maarten, Cost.U.Less St. Maarten, Prime Distributors, Marquis Agencies, Bo Frei Agencies, CED Caribbean, Fresh Supplier Bonaire/Van den Tweel Caribbean, Miamland Netherlands Antilles, Centrum Supermarket & Wholesale, Mangusa Hypermarket, Vreugdenhil Supermarket, Warehouse Bonaire, Plaza Beach & Dive Resort Bonaire, Sandals Royal Curacao and Sonesta Ocean Point; paid customs should reconcile the dissolved Netherlands Antilles code and split beneficial HS 070320 importer ownership across Sint Maarten, Curacao, Bonaire, Saba and Statia before quoting FCL volume"
165,Kiribati,350.61,139150,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Taotin Trading/Taotin Supermarket, Henicki, Punjas Kiribati, Moel Trading, King Holdings, LMTA/Antebuka/Te Uri, Miamland Kiribati, Auesa Trading, Superaoi, iMART Bikenibeu, One Stop Stores, Wishing Star Trading, JMB Store/JMB Kiribati, CPPL, Kiribati Fish, Betio Mini Market, Mary's Motel, Utirerei/Nemat Resort, Ikari House and Betio Lodge; paid customs should verify HS 070320 beneficial importer ownership because legacy pipeline value shows USD 350.61K and 139,150 kg while public sources validate import-distribution, wholesale, supermarkets, offshore consolidation, processors and hotel/lodge foodservice demand but not named garlic consignees"
166,Liechtenstein,345.92,85864,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Hilcona, Ospelt, Kesseli AG Liechtenstein delivery route, Miamland Liechtenstein, Exotic Food Liechtenstein, Foodbox Express/Hofladen Express, Fruchtebox Express/Selecta Bendern, SPAR Supermarkt Schaan, SPAR Supermarkt Eschen, SPAR mini Nendeln, Coop Vaduz Muehleholz, Coop Vaduz Staedtlemarkt, Getraenkeexpress, Adler Gastronomie/Gourmet Express, Hotel Residence/Chapter Two, Park Hotel Sonnenhof, Restaurant Torkel, Hotel Schatzmann/Restaurant Vivid, Hotel-Gasthof Loewen and Hotel kommod; paid customs should verify HS 070320 beneficial importer ownership because legacy pipeline value shows USD 345.92K and 85,864 kg while public sources validate industrial fresh-convenience processing, foodservice garlic-ingredient use, produce/frozen distribution, grocery export consolidation, supermarkets, grocery delivery, catering and hotel/restaurant demand but not named fresh-garlic consignees"
167,Saint Kitts and Nevis,334.37,152958,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Ram's Trading, Food Centre St. Kitts, Ocean Cold Storage/S.L. Horsford, O.D. Brisbane & Sons, SK&Sons, Miamland St. Kitts & Nevis, C & C Trading/C & C Super Foods, R & L's Fresh Produce Wholesale, Horsford's Valu Mart IGA, Best Buy Grocery/Best Buy Supermarket, Global Purchasing, Four Seasons Resort Nevis, Park Hyatt St. Kitts, St. Kitts Marriott, Belle Mont Sanctuary, Montpelier Nevis, Golden Rock Inn, Oualie Beach Resort, Royal St. Kitts Hotel and Island Market; paid customs should verify HS 070320 beneficial importer ownership because legacy pipeline value shows USD 334.37K and 152,958 kg while public sources validate commodity-food imports, fresh produce, foodstuff distribution, frozen/cold-chain wholesale, FMCG distribution, public shipment activity, supermarkets, foodservice distributors and large resort demand but not named fresh-garlic consignees"
168,Grenada,315.44,125203,Tier 3,20,20,"Target met 2026-04-30; public route-to-market mapping now covers Acado Grenada, Country Cold Store, Huggins Distribution, SIFH Imports, Bryden & Minors, Superb Distributors, MNIB, Miamland Grenada, Huggins Foodland, Real Value IGA, Food Fair, Baron Foods Grenada, De La Grenade Industries, Sandals Grenada, Silversands Grenada, Calabash Hotel, Spice Island Beach Resort, Royalton Grenada, True Blue Bay/Dodgy Dock and Mount Cinnamon; paid customs should verify HS 070320 beneficial importer ownership because legacy pipeline value shows USD 315.44K and 125,203 kg while public sources validate FMCG distribution, frozen/chilled food importing, cold-chain wholesale, foodservice imports, produce distribution, supermarket/provisioning channels, processors and large resort demand but not named fresh-garlic consignees"
